VOC              TOG
000000   10100204  1.02
000000   10100205  1.02
000000   10100212  1.02
000000   10100217  1.02
000000   10100221  1.02
000000   10100222  1.02
000000   10100223  1.02
000000   10100224  1.02
000000   10100225  1.02
000000   10100226  1.02
000000   10100301  1.02
000000   10100302  1.02
000000   10100303  1.02
000000   10100304  1.02
000000   10100306  1.02
000000   10100401  1.12
000000   10100404  1.12
000000   10100405  1.12
000000   10100406  1.12
000000   10100601  2.27
000000   10100602  2.27
000000   10100604  2.27
000000   10100701  1.40
000000   10100702  1.40
000000   10100801  6.80
000000   10100901  1.77
000000   10100902  1.77
000000   10100903  1.77
000000   10101001  2.27
000000   10101002  2.27
000000   10101101  2.27
000000   10101201  5.92
000000   10101202  5.92
000000   10101301  5.92
000000   10101302  1.12
000000   10200101  1.22
000000   10200104  1.22
000000   10200107  1.22
000000   10200201  1.22
000000   10200202  1.22
000000   10200203  1.22
000000   10200204  1.22
000000   10200205  1.22
000000   10200206  1.22
000000   10200210  1.22
000000   10200212  1.22
000000   10200213  2.42
000000   10200217  1.22
000000   10200219  1.22
000000   10200221  1.22
000000   10200222  1.22
000000   10200223  1.22
000000   10200224  1.22
000000   10200225  1.22
000000   10200226  1.22
000000   10200229  1.22
000000   10200301  1.22
000000   10200302  1.22
000000   10200303  1.22
000000   10200304  1.22
000000   10200306  1.22
000000   10200307  1.22
000000   10200401  1.12
000000   10200402  1.12
000000   10200403  1.12
000000   10200404  1.12
000000   10200405  1.12
000000   10200601  2.27
000000   10200602  2.27
000000   10200603  2.27
000000   10200604  2.27
000000   10200701  1.40
000000   10200704  1.40
000000   10200707  6.80
000000   10200710  1.40
000000   10200799  1.40
000000   10200802  6.80
000000   10200804  6.80
000000   10200901  1.77
000000   10200902  1.77
000000   10200903  1.77
000000   10200904  1.77
000000   10200905  1.77
000000   10200906  1.77
000000   10200907  1.77
000000   10201001  2.27
000000   10201002  2.27
000000   10201101  1.77
000000   10201201  5.92
000000   10201202  5.92
000000   10201301  5.92
000000   10201302  1.12
000000   10201401  2.27
000000   10201402  1.40
000000   10201404  1.12
000000   10300101  1.02
000000   10300102  1.02
000000   10300103  1.02
000000   10300205  1.02
000000   10300206  1.02
000000   10300207  1.02
000000   10300208  1.02
000000   10300209  1.02
000000   10300211  1.02
000000   10300214  1.02
000000   10300216  1.02
000000   10300217  1.02
000000   10300221  1.02
000000   10300222  1.02
000000   10300223  1.02
000000   10300224  1.02
